	fopt	sample	xopt
0	5.88307180749e-13	gj	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 1.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 1.0}
0	102.944531303	hi	{'a': 0.0, 'c': 0.01072715038670646, 'b': 0.0, 'e': 0.0, 'd': 0.004853087077020608, 'g': 0.0, 'f': 0.0, 'i': 1.0, 'h': 1.0, 'j': 0.0}
0	5.41788836017e-13	hj	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 1.0, 'j': 1.0}
0	5.81756864904e-13	ij	{'a': 0.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 1.0, 'h': 0.0, 'j': 1.0}
0	73.182353538	abc	{'a': 0.8992107382056034, 'c': 0.8808768810207571, 'b': 0.8995430735677955, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	1.8359314069e-11	abd	{'a': 1.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 1.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	2.03435046586e-11	abe	{'a': 1.0, 'c': 0.0, 'b': 1.0, 'e': 1.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	1.95374827427e-11	abf	{'a': 1.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 1.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	2.01065830652e-11	abg	{'a': 1.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 1.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	1.94517735252e-11	abh	{'a': 1.0, 'c': 0.0, 'b': 1.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 1.0, 'j': 0.0}
0	9.89671895453	abi	{'a': 0.7238909693606327, 'c': 0.0, 'b': 0.7221504388390501, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.7243710761063347, 'h': 0.0, 'j': 0.0}
0	8.54092371858	abj	{'a': 0.8736696414632862, 'c': 0.0, 'b': 0.8731059252809101, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.8712694405939804}
0	1.82478476773e-11	acd	{'a': 1.0, 'c': 1.0, 'b': 0.0, 'e': 0.0, 'd': 1.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	190.656152497	ace	{'a': 0.992519988020947, 'c': 0.9579261489553548, 'b': 0.0, 'e': 0.9634431566312043, 'd': 0.0, 'g': 0.0, 'f': 0.005845457999792764, 'i': 0.011940318858943809, 'h': 0.0005238770887080817, 'j': 0.020663778386118086}
0	1.92561522283e-11	acf	{'a': 1.0, 'c': 1.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 1.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	21.8279957089	acg	{'a': 0.5272720715009565, 'c': 0.5310449185252197, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.5283640871348161, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	1.93556282113e-11	ach	{'a': 1.0, 'c': 1.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 1.0, 'j': 0.0}
0	8.97856176504	aci	{'a': 0.8609318420037364, 'c': 0.8583413103468539, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.8599621637402193, 'h': 0.0, 'j': 0.0}
0	1.95043980966e-11	acj	{'a': 1.0, 'c': 1.0, 'b': 0.0, 'e': 0.0, 'd': 0.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 1.0}
0	1.91315852049e-11	ade	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 1.0, 'd': 1.0, 'g': 0.0, 'f': 0.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	1.88613569208e-11	adf	{'a': 1.0, 'c': 0.0, 'b': 0.0, 'e': 0.0, 'd': 1.0, 'g': 0.0, 'f': 1.0, 'i': 0.0, 'h': 0.0, 'j': 0.0}
0	24.5072001393	adg	{'a': 1.0, 'c': 0.0, 'b': 0.003374093099544875, 'e': 0.0, 'd': 1.0, 'g': 0.9954270334874689, 'f': 0.0007123346105678669, 'i': 0.0, 'h': 0.0, 'j': 0.0}
