fourSeven	sevenNine	fourNine	fourSevenNine
RPS14	1177.85714285714	1182.09375	1124.95089285714	1161.63392857143
HBB	0	0	0	0
RPS6	1079.87337662338	972.440340909091	1159.49553571429	1070.60308441558
HSPA8	517.38961038961	389.161931818182	494.915178571429	467.155573593074
ATP5B	412.097402597403	578.142045454545	647.330357142857	545.856601731602
UBB	1211.27922077922	979.230113636364	1048.23660714286	1079.58198051948
RPL10	1043.45454545455	976.642045454545	696.1875	905.42803030303
MPO	0	0	0	0
HSP90AA1	432.061688311688	527.517045454545	715.669642857143	558.416125541126
CD34	541.308441558442	541.272727272727	0.0357142857142857	360.872294372294
SNX3	518.987012987013	501.835227272727	97.2767857142857	372.699675324675
LDHB	270.246753246753	268.005681818182	28.6160714285714	188.956168831169
ANXA4	212.035714285714	448.09375	660.129464285714	440.08630952381
MGP	18.7272727272727	25.3210227272727	6.59375	16.8806818181818
GNB2L1	637.418831168831	549.798295454545	596.308035714286	594.508387445887
H2AFZ	319.133116883117	353.017045454545	278.241071428571	316.797077922078
RPL7	856.038961038961	820.119318181818	925.794642857143	867.317640692641
MT1G	541.035714285714	2.1875	543.223214285714	362.14880952381
FKBP1A	573.646103896104	566.838068181818	148.120535714286	429.534902597403
RPS3	690.594155844156	644.772727272727	668.821428571429	668.062770562771
FN1	98.9123376623377	135.559659090909	47.2901785714286	93.9207251082251
CLEC14A	266	271.59375	5.59375	181.0625
CAV1	561.409090909091	561.534090909091	0.125	374.356060606061
CPE	32.3474025974026	68.9857954545455	82.4241071428571	61.2524350649351
ATP5A1	349.753246753247	493.806818181818	587.196428571429	476.918831168831
CPB1	506.678571428571	0	506.678571428571	337.785714285714
CALM1	713.928571428571	690.09375	312.022321428571	572.014880952381
CDH5	150.909090909091	151.096590909091	0.1875	100.731060606061
HSPA5	224.974025974026	148.701704545455	280.584821428571	218.086850649351
KRT8	114.642857142857	115.5	230.142857142857	153.428571428571
COL6A3	0	0	0	0
S100B	12	21.0625	33.0625	22.0416666666667
CNN3	322.340909090909	455.090909090909	323.25	366.893939393939
PLVAP	105.863636363636	105.863636363636	0	70.5757575757576
CLDN5	82.3636363636364	93.7386363636364	11.375	62.4924242424242
HSP90B1	338.805194805195	251.997159090909	420.620535714286	337.140963203463
TM4SF1	444.298701298701	531.758522727273	508.602678571429	494.886634199134
IGFBP4	108.636363636364	108.667613636364	0.03125	72.4450757575758
ALDH1A1	213.837662337662	109.784090909091	230.803571428571	184.808441558442
HLA-E	16.5324675324675	20.9119318181818	6.80803571428571	14.7508116883117
NRP1	258.863636363636	259.363636363636	0.5	172.909090909091
MDK	132.685064935065	342.519886363636	303.477678571429	259.560876623377
CD36	152.272727272727	152.272727272727	0	101.515151515152
RPS19	640.353896103896	698.318181818182	695.035714285714	677.902597402597
PLP1	0	0	0	0
IFITM3	357.084415584416	391.258522727273	91.8883928571429	280.07711038961
NREP	110.396103896104	131.213068181818	175.245535714286	138.951569264069
THBS4	0.0714285714285714	2.40625	2.47767857142857	1.65178571428571
DUSP1	222.724025974026	208.795454545455	264.428571428571	231.982683982684
HIST1H4C	148.418831168831	155.048295454545	209.558035714286	171.008387445887
KRT18	102.678571428571	238.75	341.428571428571	227.619047619048
COL4A1	263.727272727273	288.477272727273	24.75	192.318181818182
PTMA	722.847402597403	751.329545454545	372.267857142857	615.481601731602
LGALS1	75	80.5	5.5	53.6666666666667
ESAM	201.954545454545	201.954545454545	0	134.636363636364
SRP14	692.224025974026	784.107954545455	435.241071428571	637.191017316017
HMGN2	270.483766233766	250.028409090909	404.330357142857	308.280844155844
CRIP2	52.9058441558442	65.2272727272727	17.6785714285714	45.2705627705628
EIF1	524.12012987013	598.758522727273	494.424107142857	539.10091991342
EPCAM	218.461038961039	329.099431818182	541.924107142857	363.161525974026
GNG11	515.318181818182	537.693181818182	22.375	358.462121212121
GLUL	194.681818181818	223.431818181818	65.75	161.287878787879
SDCBP	205.613636363636	208.707386363636	72.59375	162.304924242424
VCAN	0.0357142857142857	8.53125	8.56696428571429	5.71130952380952
ARF4	398.775974025974	249.767045454545	358.633928571429	335.725649350649
TMBIM6	474.448051948052	293.153409090909	320.419642857143	362.673701298701
CNBP	234.025974025974	276.142045454545	408.258928571429	306.142316017316
TMSB10	669.915584415584	805.491477272727	264.861607142857	580.089556277056
TSPAN3	243.016233766234	211.940340909091	265.138392857143	240.031655844156
RBP1	301.068181818182	464.161931818182	575.59375	446.941287878788
CFL1	415.964285714286	470.4375	202.401785714286	362.934523809524
CD320	137.220779220779	147.894886363636	29.3883928571429	104.834686147186
RPL4	508.701298701299	449.116477272727	489.272321428571	482.363365800866
ENO1	284.668831168831	256.267045454545	265.026785714286	268.654220779221
ENG	148.909090909091	149.752840909091	0.84375	99.8352272727273
YWHAQ	329.220779220779	331.613636363636	261.107142857143	307.313852813853
